 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;
8099340;"Actividad en la calle. Plaza Daoíz y Velarde (Retiro). Lila (El juego divino)";"";"0";"0";"";"";"2015-07-03 00:00:00.0";"2015-07-03 23:59:00.0";"20:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2dae4ba24500e410VgnVCM1000000b205a0aRCRD";"Actividad en la calle. Plaza Daoíz y Velarde (Retiro). Lila (El juego divino)";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=420a0e7e5400e410VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/FiestasActividadesCalle";
8110794;"Actividades. Fiestas de Tetuán";"";"0";"0";"";"";"2015-07-04 00:00:00.0";"2015-07-04 23:59:00.0";"00:00";" 18 horas. Comedia musical:  '5 minutos nada menos' . A cargo de la compañía El Storvio de la Asociación Juntos para Jugar. Centro municipal de mayores La Remonta. 
 19 horas. Espectáculo infantil. 'Bam-Bam'. A cargo de la compañía Los Taps. ¡Madrid Actva! 
 21 horas. Discoteca móvil con  DJ . 
 23 horas. Concierto. Marta Sánchez. 
 00:30 horas. Discoteca móvil con  DJ . ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1ba922b8bb92e410VgnVCM1000000b205a0aRCRD";"Actividades. Fiestas de Tetuán";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=904d302f2a92e410VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/FiestasActividadesCalle";
8110807;"Actividades. Fiestas de Tetuán";"";"0";"0";"";"";"2015-07-05 00:00:00.0";"2015-07-05 23:59:00.0";"00:00";" 12 horas. Comedia musical.'5 minutos nada menos'. Al cargo de la compañía El Storvio de la Asociación Juntos para Jugar. Centro municipal de mayores La Remonta. 
 20:30 horas. Concierto. Alberto Pestaña, 'Donalberto'.  
 21:30 horas. Concierto. David Carby. Joven músico. 
 22:30 horas. Concierto. Supersingles. Y espectáculo Fin de Fiestas. ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3dbc22b8bb92e410VgnVCM1000000b205a0aRCRD";"Actividades. Fiestas de Tetuán";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=904d302f2a92e410VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/FiestasActividadesCalle";
8110765;"Actividades. Fiestas de Tetuán";"";"0";"0";"";"";"2015-07-03 00:00:00.0";"2015-07-03 23:59:00.0";"00:00";" 21:30 horas. Pregón a cargo de la periodista M.ª José Peláez. 
 22 horas. Discoteca móvil con  DJ . 
 23 horas. Concierto. Coti 
 00:30 hora. Discoteca móvil con  DJ  Óscar. ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a67751171b92e410VgnVCM1000000b205a0aRCRD";"Actividades. Fiestas de Tetuán";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=904d302f2a92e410VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/FiestasActividadesCalle";
8025382;"Audiovisual. Otros Horizontes";"";"1";"1";"M,X,J,V,S,D";"";"2015-01-01 00:00:00.0";"2015-12-31 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0d82574329e1d410VgnVCM1000000b205a0aRCRD";"Audiovisual. Otros Horizontes";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=592e2da0f1a0d410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c9c5b069a541f010VgnVCM1000000b205a0aRCRD";"Planetario de Madrid";"441977";"4471730";"40.39227092120195";"-3.684968648157021";"ARGANZUELA";"/contenido/actividades/Peliculas";
8097347;"Audiovisuales. Dance tracks";"";"1";"0";"";"";"2015-07-08 00:00:00.0";"2015-07-08 23:59:00.0";"23:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e96227a2437fd410VgnVCM1000000b205a0aRCRD";"Audiovisuales. Dance tracks";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7c17cac5037fd410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"440934";"4471754";"40.39241367848808";"-3.697259467865366";"ARGANZUELA";"/contenido/actividades/Peliculas";
8097618;"Audiovisuales. Duelo de vídeos";"";"1";"0";"";"";"2015-07-15 00:00:00.0";"2015-07-15 23:59:00.0";"23:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b2964a5b1bfd410VgnVCM1000000b205a0aRCRD";"Audiovisuales. Duelo de vídeos";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0cb23c9190bfd410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"440934";"4471754";"40.39241367848808";"-3.697259467865366";"ARGANZUELA";"/contenido/actividades/Peliculas";
8097094;"Audiovisuales. Seixodelica";"";"1";"0";"";"";"2015-07-07 00:00:00.0";"2015-07-07 23:59:00.0";"23:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f6aed17dc07fd410VgnVCM1000000b205a0aRCRD";"Audiovisuales. Seixodelica";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=845e056d807fd410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"440934";"4471754";"40.39241367848808";"-3.697259467865366";"ARGANZUELA";"/contenido/actividades/Peliculas";
8097696;"Audiovisuales. Series";"";"1";"0";"";"";"2015-07-22 00:00:00.0";"2015-07-22 23:59:00.0";"23:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b77af53872bfd410VgnVCM1000000b205a0aRCRD";"Audiovisuales. Series";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=531764a5b1bfd410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"440934";"4471754";"40.39241367848808";"-3.697259467865366";"ARGANZUELA";"/contenido/actividades/ConferenciasColoquios";
8097676;"Audiovisuales. Videoplaylist";"";"1";"0";"";"";"2015-07-21 00:00:00.0";"2015-07-21 23:59:00.0";"23:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=972364a5b1bfd410VgnVCM1000000b205a0aRCRD";"Audiovisuales. Videoplaylist";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bfaf64a5b1bfd410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"440934";"4471754";"40.39241367848808";"-3.697259467865366";"ARGANZUELA";"/contenido/actividades/Peliculas";
